epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,209.968,1.86439,1.1798,0.98887,0.09361,0.93558,0.79503,0.31673,1.97925,2.4162,0.98254,0.00040605,0.00040605,0.00040605
43,214.812,1.83847,1.18486,0.96829,0.09471,0.95077,0.84138,0.34745,1.97911,2.37735,0.97982,0.000409022,0.000409022,0.000409022
44,219.589,1.8632,1.1252,0.96996,0.09471,0.95077,0.84138,0.34745,1.97911,2.37735,0.97982,0.000411664,0.000411664,0.000411664
45,224.616,2.04564,1.2546,0.98365,0.09677,0.97038,0.86128,0.33429,1.98397,2.36229,0.98271,0.000413976,0.000413976,0.000413976
46,229.373,1.90829,1.13292,0.95427,0.09677,0.97038,0.86128,0.33429,1.98397,2.36229,0.98271,0.000415958,0.000415958,0.000415958
47,234.347,2.00575,1.15507,0.94762,0.09863,0.99038,0.82046,0.2801,2.04219,2.38577,0.99355,0.00041761,0.00041761,0.00041761
48,239.157,1.86198,1.2013,0.98048,0.09863,0.99038,0.82046,0.2801,2.04219,2.38577,0.99355,0.000418932,0.000418932,0.000418932
49,243.962,1.91482,1.20952,0.93873,0.60601,0.85619,0.8032,0.274,2.02706,2.34148,0.99379,0.000419924,0.000419924,0.000419924
50,248.776,1.89912,1.18136,0.94233,0.60601,0.85619,0.8032,0.274,2.02706,2.34148,0.99379,0.000420586,0.000420586,0.000420586
51,253.598,1.82732,1.09614,0.94471,0.93523,0.5927,0.84584,0.32517,1.94571,2.22375,0.98032,0.000420918,0.000420918,0.000420918
52,258.56,1.87221,1.09763,0.94869,0.93523,0.5927,0.84584,0.32517,1.94571,2.22375,0.98032,0.000420919,0.000420919,0.000420919
53,263.561,1.87497,1.0895,0.93694,0.93523,0.5927,0.84584,0.32517,1.94571,2.22375,0.98032,0.000420591,0.000420591,0.000420591
54,268.401,1.86564,1.09664,0.99616,0.97369,0.37687,0.90461,0.36955,1.94337,2.05947,0.97351,0.000419932,0.000419932,0.000419932
55,273.287,1.81304,1.02525,0.95384,0.97369,0.37687,0.90461,0.36955,1.94337,2.05947,0.97351,0.000418944,0.000418944,0.000418944
56,278.047,2.00028,1.06127,0.9643,0.97369,0.37687,0.90461,0.36955,1.94337,2.05947,0.97351,0.000417625,0.000417625,0.000417625
57,283.059,1.80841,1.01479,0.96003,0.97406,0.46654,0.92046,0.38258,1.94503,1.93076,0.97683,0.000415977,0.000415977,0.000415977
58,287.935,1.87448,1.02043,0.94865,0.97406,0.46654,0.92046,0.38258,1.94503,1.93076,0.97683,0.000413998,0.000413998,0.000413998
59,292.597,1.80699,0.99997,0.95662,0.97406,0.46654,0.92046,0.38258,1.94503,1.93076,0.97683,0.000411689,0.000411689,0.000411689
