timestamp,poi,x,y,z,qw,qx,qy,qz,vx,vy,vz,roll,pitch,yaw,gimbal_pitch,radio_min,radio_max
929565231,0,-0.429073,-0.890734,0.433748,0.582901,0.00583519,-0.00919858,0.81247,-0.00222347,-0.00249232,-0.00330941,-0.00814621,-0.0202069,1.897,0.0202098,0,0
929594268,0,-0.428991,-0.89077,0.433654,0.58286,0.0058161,-0.00919957,0.8125,-0.0020199,-0.00303083,-0.00324172,-0.0081711,-0.0201767,1.8971,0.0202098,0,0
929631968,0,-0.428866,-0.890765,0.433592,0.582949,0.00581098,-0.00922889,0.812436,-0.00105089,-0.00382181,-0.00123637,-0.00822253,-0.0202034,1.89688,0.0201904,0,0
929666863,0,-0.428708,-0.890758,0.433536,0.582867,0.00581275,-0.00920671,0.812495,-0.00123049,-0.00528065,-0.00181857,-0.00818644,-0.0201796,1.89708,0.0201909,0,0
929694046,0,-0.428558,-0.890737,0.433488,0.58288,0.00583165,-0.00919626,0.812486,-0.00102611,-0.00596046,-0.00178878,-0.00814711,-0.0201983,1.89705,0.0201909,0,0
929735660,0,-0.428441,-0.890732,0.433433,0.582929,0.00583427,-0.00919946,0.81245,-0.00128526,-0.00443205,-0.00143256,-0.00814803,-0.0202068,1.89693,0.02021,0,0
929767163,0,-0.428273,-0.890747,0.433374,0.582882,0.00582308,-0.00921543,0.812483,-0.00164782,-0.00467225,-0.00155624,-0.00818819,-0.0202067,1.89705,0.02023,0,0
929794402,0,-0.428141,-0.890754,0.433377,0.582882,0.00584535,-0.00921496,0.812484,-0.00192868,-0.00437309,-0.000331012,-0.00816147,-0.0202423,1.89705,0.02023,0,0
929828767,0,-0.428056,-0.890732,0.433375,0.582917,0.0058356,-0.0092071,0.812459,-0.000306714,-0.00397302,0.00015042,-0.0081592,-0.0202177,1.89696,0.0202308,0,0
929863014,0,-0.427987,-0.890709,0.43338,0.582894,0.00583478,-0.00923065,0.812475,0.000302486,-0.00175291,0.000183276,-0.008199,-0.0202436,1.89702,0.0202434,0,0
929893752,0,-0.427949,-0.890692,0.433377,0.582882,0.00584632,-0.00922301,0.812484,-0.000171556,-0.00126561,-0.000120214,-0.00817343,-0.0202533,1.89705,0.0202434,0,0
929933548,0,-0.42793,-0.890698,0.433367,0.582916,0.00585028,-0.00919473,0.812459,-0.000133005,-0.00134147,-0.000149276,-0.00812199,-0.0202271,1.89696,0.020223,0,0
929965262,0,-0.427923,-0.890729,0.43355,0.582893,0.00585805,-0.00921461,0.812476,-0.00133529,-0.000144147,0.00309354,-0.00814582,-0.0202627,1.89702,0.0202653,0,0
929995634,0,-0.427949,-0.890761,0.433548,0.582857,0.00583717,-0.00924405,0.812501,-0.00154067,-0.000579047,-0.000449257,-0.0082189,-0.0202627,1.89711,0.0202653,0,0
930032121,0,-0.42793,-0.890771,0.433518,0.582926,0.00582295,-0.00924415,0.812452,-0.000261147,-0.000266584,-0.000539248,-0.00823395,-0.0202404,1.89694,0.0202426,0,0
930065869,0,-0.427928,-0.890744,0.433492,0.58288,0.00585303,-0.0092225,0.812484,0.000979484,-0.00114859,-0.000669763,-0.00816481,-0.0202636,1.89705,0.0202699,0,0
930094652,0,-0.427885,-0.890696,0.433474,0.582868,0.00585897,-0.00921042,0.812493,0.000849502,-0.00274646,-0.000707436,-0.00813854,-0.0202591,1.89708,0.0202699,0,0
930133307,0,-0.427999,-0.890812,0.433541,0.582941,0.00583243,-0.00924096,0.812441,-0.00161838,0.00254313,0.00189573,-0.00821732,-0.0202523,1.8969,0.0202608,0,0
930164811,0,-0.428018,-0.890894,0.433547,0.582876,0.00582231,-0.00925131,0.812488,-0.00179672,0.000938727,0.000498681,-0.00824758,-0.0202472,1.89706,0.0202608,0,0
930195252,0,-0.428134,-0.890948,0.43356,0.58287,0.00583175,-0.00921672,0.812492,-0.00024908,0.00395573,0.000315979,-0.00818049,-0.0202222,1.89708,0.02025,0,0
930229580,0,-0.428343,-0.890967,0.43363,0.582939,0.00585536,-0.00919558,0.812443,0.000706572,0.00434264,0.00221194,-0.00811688,-0.0202366,1.89691,0.0202399,0,0
930264724,0,-0.428415,-0.891014,0.433851,0.582864,0.00584952,-0.00920149,0.812497,-0.000317695,0.00152938,0.00489821,-0.00813517,-0.0202332,1.89709,0.0202399,0,0
930293417,0,-0.428476,-0.891067,0.433972,0.582887,0.00582605,-0.0092297,0.81248,-0.000764237,0.00215743,0.00431346,-0.00820781,-0.0202282,1.89704,0.0202297,0,0
930332710,0,-0.428575,-0.891127,0.434125,0.58293,0.00582187,-0.00923404,0.812449,-0.000621812,0.00323754,0.00442613,-0.00821867,-0.0202269,1.89693,0.0202302,0,0
930364943,0,-0.42875,-0.891202,0.434247,0.58288,0.00585988,-0.00919018,0.812485,-0.000394969,0.00505531,0.0041723,-0.0081043,-0.0202371,1.89705,0.0202457,0,0
