x,y,z,frame
-3.848790972922291,-3.8597078932154245,0.001,0
-3.630803735687011,-3.6336629497784374,0.002,1
-2.840106258239238,-2.8395262110437107,0.003,2
-2.7542208730011284,-2.7495921220285098,0.004,3
-2.414706014466422,-2.4128351423185648,0.005,4
-3.1778113740189795,-3.1705128336178743,0.006,5
-19.13922653059932,-18.184262668536054,0.007,6
-19.053704640816647,-18.142751067061713,0.008,7
-19.210277256526474,-18.266952342606018,0.009000000000000001,8
-19.815540281475936,-18.93167950950878,0.010000000000000002,9
-19.749430614461527,-18.841543395978082,0.011000000000000003,10
-19.556497509531454,-18.701218744774394,0.012000000000000004,11
-19.461843170180437,-18.580044658367324,0.013000000000000005,12
-19.733608411183297,-18.85025474807299,0.014000000000000005,13
-19.598781603294746,-18.696823871635804,0.015000000000000006,14
-17.410278086699,-16.55020890615877,0.016000000000000007,15
-18.273854698855338,-17.301845477688904,0.017000000000000008,16
-16.82451334350802,-15.94917211912399,0.01800000000000001,17
-17.412531689989137,-16.49114592904081,0.01900000000000001,18
-16.883581190631816,-15.969298182144597,0.02000000000000001,19
-17.137789609574455,-16.19828069889338,0.02100000000000001,20
-17.381718278287924,-16.383506064581034,0.022000000000000013,21
-15.665210247971206,-14.840053998223187,0.023000000000000013,22
-17.36552094967221,-16.44696336486303,0.024000000000000014,23
-16.14038728644326,-15.263904120799456,0.025000000000000015,24
-16.069304489678487,-15.111673410916156,0.026000000000000016,25
-17.950898759194715,-16.9151816352022,0.027000000000000017,26
-16.47442415224241,-15.50173588239262,0.028000000000000018,27
-15.875429814985495,-14.958006949826466,0.02900000000000002,28
-16.498830668513587,-15.644479234627743,0.03000000000000002,29
-23.959764543066704,-22.96054978666606,0.03100000000000002,30
-24.571909106647787,-23.609282344082505,0.03200000000000002,31
-25.306267363789786,-24.330170265496672,0.03300000000000002,32
-25.177271218127043,-24.18724186889285,0.03400000000000002,33
-25.340310120720954,-24.375057976252815,0.035000000000000024,34
-25.360539613474753,-24.4035150278267,0.036000000000000025,35
-25.468872218035983,-24.47228545949523,0.037000000000000026,36
-24.913656171312805,-23.986398218685135,0.03800000000000003,37
-24.809333625452947,-23.814119850212133,0.03900000000000003,38
-24.67462867738178,-23.6915084898374,0.04000000000000003,39
-24.51482303772673,-23.497372445644448,0.04100000000000003,40
-24.38864763157633,-23.377924497146683,0.04200000000000003,41
-26.727563927177748,-25.75276913593114,0.04300000000000003,42
-27.079932605615205,-26.040041207044162,0.04400000000000003,43
-27.139460299821014,-26.10323646828114,0.04500000000000003,44
-27.363824664164532,-26.398953487089866,0.046000000000000034,45
-27.10863554887139,-26.151625037358038,0.047000000000000035,46
-27.049976696500735,-26.106872507524745,0.048000000000000036,47
-26.772602366905794,-25.685466958472453,0.04900000000000004,48
-27.32183118222856,-26.16617324934736,0.05000000000000004,49
-26.917438866791024,-25.835022360150443,0.05100000000000004,50
-26.96759721748907,-25.87421247938592,0.05200000000000004,51
-27.01359162705535,-25.917141512265175,0.05300000000000004,52
-27.46661721747271,-26.322269635839,0.05400000000000004,53
-26.38028682735455,-25.205113732037486,0.05500000000000004,54
-28.478607196435906,-27.353283067213106,0.05600000000000004,55
-28.518389391816868,-27.381225212437123,0.057000000000000044,56
-28.618685581299093,-27.47308070432085,0.058000000000000045,57
-28.451264746978023,-27.331977243781576,0.059000000000000045,58
-28.122971784223164,-26.988735610523904,0.060000000000000046,59
-28.059038895572456,-26.832358819815386,0.06100000000000005,60
-28.052538076515063,-26.842092266022075,0.06200000000000005,61
-27.96940717403371,-26.736740120468205,0.06300000000000004,62
-28.26120475558084,-26.972090606518915,0.06400000000000004,63
-27.25892620938491,-26.075441435896963,0.06500000000000004,64
-27.534011062494482,-26.362232384857492,0.06600000000000004,65
-27.441522088668172,-26.289780377274095,0.06700000000000005,66
-27.69153340125613,-26.699768053073182,0.06800000000000005,67
-26.9424689327509,-25.811061824166302,0.06900000000000005,68
-27.520933691977472,-26.338523931366908,0.07000000000000005,69
-27.245456911853914,-26.007682391084725,0.07100000000000005,70
-32.42370878484856,-30.874769872035632,0.07200000000000005,71
-32.358236256524435,-30.788826534269464,0.07300000000000005,72
-32.406792517333635,-30.86498588587578,0.07400000000000005,73
-30.02732167266223,-28.605299119539872,0.07500000000000005,74
-29.595443909998927,-28.15978854922246,0.07600000000000005,75
-29.39861342297818,-27.983249490905987,0.07700000000000005,76
-28.852895293660136,-27.49130261875207,0.07800000000000006,77
-28.033391628418087,-26.718125134912054,0.07900000000000006,78
-27.99445461410453,-26.67841855066143,0.08000000000000006,79
-28.00143739989307,-26.696186002706682,0.08100000000000006,80
-28.00540406761938,-26.691117667903523,0.08200000000000006,81
-28.009784118101244,-26.696410043054616,0.08300000000000006,82
-28.011545215415985,-26.695521801349624,0.08400000000000006,83
-28.021276502046582,-26.70023046075041,0.08500000000000006,84
-28.00746950420725,-26.69525455046072,0.08600000000000006,85
-28.009322227500824,-26.70883208224381,0.08700000000000006,86
-28.010781571909042,-26.709931005503293,0.08800000000000006,87
-28.017305366242717,-26.709287054225257,0.08900000000000007,88
-28.020656163144523,-26.710531067927906,0.09000000000000007,89
-28.020987223969477,-26.712357776442595,0.09100000000000007,90
-28.030583767294804,-26.71035398224632,0.09200000000000007,91
-28.024030451597664,-26.708099211535636,0.09300000000000007,92
-28.02374018333693,-26.708744525638064,0.09400000000000007,93
-28.029395945426895,-26.706571355809523,0.09500000000000007,94
-28.02725738125165,-26.70701822493908,0.09600000000000007,95
-28.0254637634665,-26.709127813061944,0.09700000000000007,96
